participant,timestamp_s,state_id,pitch_deg,roll_deg,yaw_deg
Ferize,0.5545,qiyamStart,10.2063,-85.5278,9.4428
Ferize,0.5654,qiyamStart,-9.6681,-3.1250,45.4548
Ferize,0.5821,qiyamStart,-6.0893,14.8696,54.1257
Ferize,0.6324,qiyamStart,-6.0853,14.8702,53.9771
Ferize,0.6384,qiyamStart,-6.0767,14.9229,53.9126
Ferize,0.6385,qiyamStart,-6.0810,14.8965,53.9449
Ferize,0.6590,qiyamStart,-5.9044,14.9101,53.7665
Ferize,0.7067,qiyamStart,-5.8541,14.8826,53.6177
Ferize,0.7175,qiyamStart,-5.8454,14.8686,53.5724
Ferize,0.8048,qiyamStart,-5.8212,14.8101,53.4235
Ferize,0.8078,qiyamStart,-5.8084,14.8062,53.3678
Ferize,0.8078,qiyamStart,-5.7956,14.8022,53.3122
Ferize,0.8079,qiyamStart,-5.7828,14.7983,53.2565
Ferize,0.8079,qiyamStart,-5.7700,14.7944,53.2009
Ferize,0.8338,qiyamStart,-5.7622,14.8344,53.1231
Ferize,0.8373,qiyamStart,-5.7835,14.8297,53.1030
Ferize,0.8592,qiyamStart,-5.7999,14.8147,53.0894
Ferize,0.8890,qiyamStart,-5.8171,14.8089,53.0812
Ferize,0.8985,qiyamStart,-5.8084,14.8022,53.1016
Ferize,0.9268,qiyamStart,-5.7982,14.7987,53.1240
Ferize,0.9528,qiyamStart,-5.7798,14.7990,53.1688
Ferize,0.9529,qiyamStart,-5.7890,14.7988,53.1464
Ferize,0.9788,qiyamStart,-5.7674,14.8026,53.1791
Ferize,1.0089,qiyamStart,-5.7204,14.7926,53.1693
Ferize,1.0394,qiyamStart,-5.7039,14.7879,53.1507
Ferize,1.0395,qiyamStart,-5.6875,14.7832,53.1322
Ferize,1.0695,qiyamStart,-5.6724,14.7638,53.0765
Ferize,1.0985,qiyamStart,-5.6740,14.7479,53.0324
Ferize,1.0985,qiyamStart,-5.6732,14.7559,53.0544
Ferize,1.1296,qiyamStart,-5.6584,14.7403,52.9816
Ferize,1.1583,qiyamStart,-5.6398,14.7284,52.9550
Ferize,1.1618,qiyamStart,-5.6213,14.7165,52.9284
