participant,timestamp_s,state_id,pitch_deg,roll_deg,yaw_deg
Ozcan,1.2793,qiyamStart,-6.9671,-15.1435,12.4590
Ozcan,1.2794,qiyamStart,-1.0913,-49.8674,-0.5074
Ozcan,1.2794,qiyamStart,-6.9244,-15.1261,12.4691
Ozcan,1.2795,qiyamStart,-6.7658,-15.0624,12.4812
Ozcan,1.2796,qiyamStart,-6.1735,-15.1055,12.4474
Ozcan,1.2796,qiyamStart,-5.6368,-15.1129,12.3170
Ozcan,1.2797,qiyamStart,-5.6003,-15.0099,12.2530
Ozcan,1.2798,qiyamStart,-5.5341,-15.1186,12.0697
Ozcan,1.9936,qiyamStart,-5.4120,-15.1096,11.9885
Ozcan,1.9936,qiyamStart,-5.2899,-15.1004,11.9072
Ozcan,1.9937,qiyamStart,-5.1679,-15.0911,11.8260
Ozcan,1.9937,qiyamStart,-5.3146,-15.0299,11.3373
Ozcan,1.9938,qiyamStart,-5.7280,-15.1349,10.7643
Ozcan,1.9938,qiyamStart,-5.0458,-15.0815,11.7447
Ozcan,1.9939,qiyamStart,-5.7263,-15.1770,10.5883
Ozcan,1.9939,qiyamStart,-5.5126,-15.3935,10.0984
Ozcan,1.9940,qiyamStart,-6.2273,-15.2797,9.9098
Ozcan,1.9940,qiyamStart,-6.2489,-15.1754,9.5355
Ozcan,1.9940,qiyamStart,-6.1665,-15.1470,9.4518
Ozcan,1.9941,qiyamStart,-9.2994,-14.2436,9.2900
Ozcan,1.9941,qiyamStart,-8.3063,-14.5738,9.2956
Ozcan,1.9942,qiyamStart,-10.8887,-13.6714,9.3240
Ozcan,1.9942,qiyamStart,-11.2938,-13.5148,9.3648
Ozcan,1.9943,qiyamStart,-11.6988,-13.3576,9.4067
Ozcan,1.9943,qiyamStart,-12.1037,-13.2000,9.4498
Ozcan,1.9944,qiyamStart,-12.6950,-12.7956,9.5541
Ozcan,1.9944,qiyamStart,-12.8020,-12.6905,9.5451
Ozcan,1.9946,qiyamStart,-12.9169,-12.5322,9.3617
