participant,timestamp_s,state_id,pitch_deg,roll_deg,yaw_deg
Ozden,0.2693,qiyamStart,-24.6345,37.7544,8.5397
Ozden,0.3195,qiyamStart,-32.1833,-12.1682,-21.8830
Ozden,0.3218,qiyamStart,-32.1148,-12.1722,-21.9510
Ozden,0.3218,qiyamStart,-32.0462,-12.1760,-22.0189
Ozden,0.3584,qiyamStart,-31.6743,-12.1770,-22.3779
Ozden,0.4003,qiyamStart,-31.1709,-12.1737,-22.9411
Ozden,0.4025,qiyamStart,-30.8680,-12.1587,-23.4763
Ozden,0.4025,qiyamStart,-30.5652,-12.1405,-24.0100
Ozden,0.4265,qiyamStart,-30.2472,-12.1549,-24.5999
Ozden,0.4534,qiyamStart,-29.9204,-12.1808,-25.2573
Ozden,0.4808,qiyamStart,-29.6058,-12.2120,-25.9585
Ozden,0.4847,qiyamStart,-29.2910,-12.2386,-26.6573
Ozden,0.5099,qiyamStart,-28.6787,-12.2976,-28.4459
Ozden,0.5367,qiyamStart,-28.4797,-12.3624,-29.2770
Ozden,0.5750,qiyamStart,-28.2699,-12.4565,-30.2026
Ozden,0.5792,qiyamStart,-28.0588,-12.5465,-31.1259
Ozden,0.6421,qiyamStart,-27.8837,-12.6589,-32.0308
Ozden,0.6450,qiyamStart,-27.7070,-12.7680,-32.9339
Ozden,0.6450,qiyamStart,-27.5288,-12.8738,-33.8352
Ozden,0.6451,qiyamStart,-27.3492,-12.9763,-34.7346
Ozden,0.6626,qiyamStart,-27.0883,-13.2114,-36.9591
Ozden,0.6912,qiyamStart,-27.0228,-13.3732,-39.4653
Ozden,0.7209,qiyamStart,-27.0269,-13.3525,-40.1083
Ozden,0.7209,qiyamStart,-27.0312,-13.3319,-40.7514
Ozden,0.7471,qiyamStart,-27.0451,-13.2876,-41.2745
Ozden,0.8046,qiyamStart,-27.0748,-13.1819,-42.1472
Ozden,0.8046,qiyamStart,-27.0973,-13.1300,-42.5135
Ozden,0.8047,qiyamStart,-27.0860,-13.1559,-42.3304
Ozden,0.8353,qiyamStart,-27.1951,-13.0544,-43.1260
Ozden,0.8829,qiyamStart,-27.3464,-12.9696,-43.7464
Ozden,0.8829,qiyamStart,-27.3069,-13.0082,-43.5791
Ozden,0.8926,qiyamStart,-27.3861,-12.9311,-43.9137
